neuron_id,pc1,pc2,cluster,region
592,0,-954.628,2,SENSORY
593,0,-954.628,2,SENSORY
594,0,-954.628,2,SENSORY
595,0,-954.628,2,SENSORY
596,0,-954.628,2,SENSORY
597,0,-954.628,2,SENSORY
598,0,-957.726,0,SENSORY
599,0,-954.628,2,SENSORY
600,0,-954.628,2,SENSORY
601,0,-954.628,2,SENSORY
602,0,-954.628,2,SENSORY
603,0,-954.628,2,SENSORY
604,0,-954.628,2,SENSORY
605,0,-954.628,2,SENSORY
606,0,-954.628,2,SENSORY
607,0,-954.628,2,SENSORY
608,0,-954.628,2,SENSORY
609,0,-954.628,2,SENSORY
610,0,-954.628,2,SENSORY
611,0,-954.628,2,SENSORY
612,0,-957.726,0,SENSORY
613,0,-954.628,2,SENSORY
614,0,-954.628,2,SENSORY
615,0,-954.628,2,SENSORY
616,0,-954.628,2,SENSORY
617,0,-954.628,2,SENSORY
618,0,-954.628,2,SENSORY
619,0,-954.628,2,SENSORY
620,0,-954.628,2,SENSORY
621,0,-954.628,2,SENSORY
622,0,-954.628,2,SENSORY
623,0,-954.628,2,SENSORY
624,0,-954.628,2,SENSORY
625,0,-954.628,2,SENSORY
626,0,-954.628,2,SENSORY
627,0,-954.628,2,SENSORY
628,0,-954.628,2,SENSORY
629,0,-954.628,2,SENSORY
630,0,-954.628,2,SENSORY
631,0,-954.628,2,SENSORY
632,0,-954.628,2,SENSORY
633,0,-954.628,2,SENSORY
634,0,-954.628,2,SENSORY
635,0,-957.726,0,SENSORY
636,0,-954.628,2,SENSORY
637,0,-954.628,2,SENSORY
638,0,-954.628,2,SENSORY
639,0,-954.628,2,SENSORY
640,0,-954.628,2,SENSORY
641,0,-954.628,2,SENSORY
642,0,-954.628,2,SENSORY
643,0,-954.628,2,SENSORY
644,0,-954.628,2,SENSORY
645,0,-954.628,2,SENSORY
646,0,-954.628,2,SENSORY
647,0,-954.628,2,SENSORY
648,0,-958.675,7,SENSORY
649,0,-954.628,2,SENSORY
650,0,-954.628,2,SENSORY
651,0,-954.628,2,SENSORY
652,0,-954.628,2,SENSORY
653,0,-954.628,2,SENSORY
654,0,-954.628,2,SENSORY
655,0,-954.628,2,SENSORY
656,0,-954.628,2,SENSORY
657,0,-954.628,2,SENSORY
658,0,-954.628,2,SENSORY
659,0,-954.628,2,SENSORY
660,0,-954.628,2,SENSORY
661,0,-954.628,2,SENSORY
662,0,-954.628,2,SENSORY
663,0,-954.628,2,SENSORY
664,0,-958.675,7,SENSORY
665,0,-957.726,0,SENSORY
666,0,-954.628,2,SENSORY
667,0,-954.628,2,SENSORY
668,0,-958.675,7,SENSORY
669,0,-958.675,7,SENSORY
670,0,-958.675,7,SENSORY
671,0,-954.628,2,SENSORY
672,0,-954.628,2,SENSORY
673,0,-954.628,2,SENSORY
674,0,-958.675,7,SENSORY
675,0,-954.628,2,SENSORY
676,0,-954.628,2,SENSORY
677,0,-958.675,7,SENSORY
678,0,-954.628,2,SENSORY
679,0,-954.628,2,SENSORY
680,0,-954.628,2,SENSORY
681,0,-954.628,2,SENSORY
682,0,-954.628,2,SENSORY
683,0,-954.628,2,SENSORY
684,0,-954.628,2,SENSORY
685,0,-954.628,2,SENSORY
686,0,-954.628,2,SENSORY
687,0,-958.675,7,SENSORY
688,0,-954.628,2,SENSORY
689,0,-954.628,2,SENSORY
690,0,-954.628,2,SENSORY
691,0,-954.628,2,SENSORY
692,0,-958.675,7,SENSORY
693,0,-954.628,2,SENSORY
694,0,-954.628,2,SENSORY
695,0,-954.628,2,SENSORY
696,0,-954.628,2,SENSORY
697,0,-954.628,2,SENSORY
698,0,-954.628,2,SENSORY
699,0,-954.628,2,SENSORY
700,0,-954.628,2,SENSORY
701,0,-954.628,2,SENSORY
702,0,-954.628,2,SENSORY
703,0,-958.675,7,SENSORY
704,0,-954.628,2,SENSORY
705,0,-954.628,2,SENSORY
706,0,-954.628,2,SENSORY
707,0,-958.675,7,SENSORY
708,0,-954.628,2,SENSORY
709,0,-954.628,2,SENSORY
710,0,-954.628,2,SENSORY
711,0,-958.675,7,SENSORY
712,0,-954.628,2,SENSORY
713,0,-954.628,2,SENSORY
714,0,-954.628,2,SENSORY
715,0,-954.628,2,SENSORY
716,0,-954.628,2,SENSORY
717,0,-958.675,7,SENSORY
718,0,-954.628,2,SENSORY
719,0,-954.628,2,SENSORY
720,0,-954.628,2,SENSORY
721,0,-954.628,2,SENSORY
722,0,-954.628,2,SENSORY
723,0,-954.628,2,SENSORY
724,0,-954.628,2,SENSORY
725,0,-958.675,7,SENSORY
726,0,-954.628,2,SENSORY
727,0,-954.628,2,SENSORY
728,0,-958.675,7,SENSORY
729,0,-954.628,2,SENSORY
730,0,-954.628,2,SENSORY
731,0,-954.628,2,SENSORY
732,0,-954.628,2,SENSORY
733,0,-954.628,2,SENSORY
734,0,-954.628,2,SENSORY
735,0,-954.628,2,SENSORY
736,0,-954.628,2,SENSORY
737,0,-958.675,7,SENSORY
738,0,-954.628,2,SENSORY
739,0,-954.628,2,SENSORY
740,0,-954.628,2,SENSORY
741,0,-954.628,2,SENSORY
742,0,-954.628,2,SENSORY
743,0,-954.628,2,SENSORY
744,0,-954.628,2,SENSORY
745,0,-954.628,2,SENSORY
746,0,-954.628,2,SENSORY
747,0,-958.675,7,SENSORY
748,0,-954.628,2,SENSORY
749,0,-954.628,2,SENSORY
750,0,-954.628,2,SENSORY
751,0,-954.628,2,SENSORY
752,0,-954.628,2,SENSORY
753,0,-954.628,2,SENSORY
754,0,-954.628,2,SENSORY
755,0,-954.628,2,SENSORY
756,0,-954.628,2,SENSORY
757,0,-958.675,7,SENSORY
758,0,-954.628,2,SENSORY
759,0,-954.628,2,SENSORY
760,0,-954.628,2,SENSORY
761,0,-954.628,2,SENSORY
762,0,-954.628,2,SENSORY
763,0,-954.628,2,SENSORY
764,0,-958.675,7,SENSORY
765,0,-958.675,7,SENSORY
766,0,-954.628,2,SENSORY
767,0,-954.628,2,SENSORY
768,0,-954.628,2,SENSORY
769,0,-954.628,2,SENSORY
